id,role,age,grade,follow_local,follow_federal,influence_local,influence_federal,align_parents,support_local_16,support_federal_16,explanation,likelihood_vote,informed_local,informed_federal,mayor_knowledge_text,news_sources,subject,years_in_ed,civic_skills_text,reasoning_text,mayor_knowledge_score,reasoning_depth_score,faculty_reasoning_score,civic_skills_score,engagement_index,civic_literacy_index,mayor_knowledge_band,news_diversity,support_pattern
1,Student,17.0,11.0,5.0,5.0,1.0,1.0,4.0,No,No,"Teens do not have independent though from their parents, so giving them voting rights would be futile. Adding more misinformed and uninformed voters to the voter pool seems like it would be very counterproductive.",4.0,1.0,1.0,,"YouTube, Traditional news (NYT, WSJ, SF Chronicle), Family or friends, Other",,,,,0.0,3.56,,0.0,91.7,37.5,None (0),4,Neither
2,Student,15.0,9.0,3.0,4.0,1.0,1.0,5.0,Yes,No,"Many kids my age make a lot of jokes around politics, especially on the fed level that affects them less. I think they should have a vote in local politics because it so closely affects them though.",5.0,4.0,2.0,,"YouTube, Podcasts, Traditional news (NYT, WSJ, SF Chronicle)",,,,,0.0,3.08,,0.0,75.0,26.4,None (0),3,Local only
3,Student,16.0,10.0,3.0,4.0,2.0,1.0,4.0,Yes,Yes,I think youth 16-18 are responsible enough and should be able to engage in elections that significantly affect us.,5.0,4.0,5.0,,"Social media (TikTok, Instagram, X), Traditional news (NYT, WSJ, SF Chronicle), Family or friends",,,,,0.0,0.8,,0.0,75.0,18.4,None (0),3,Both
4,Student,15.0,9.0,2.0,2.0,1.0,1.0,5.0,No,No,People my age won’t make good decisions ,5.0,3.0,2.0,,"Social media (TikTok, Instagram, X)",,,,,0.0,0.32,,0.0,50.0,7.4,None (0),1,Neither
5,Student,16.0,11.0,1.0,1.0,1.0,1.0,5.0,Yes,Unsure,i feel like not ALL 16yo should be able to vote..,4.0,3.0,3.0,,"Social media (TikTok, Instagram, X), Family or friends",,,,,0.0,1.44,,0.0,25.0,5.0,None (0),2,Local only
6,Student,15.0,10.0,4.0,4.0,1.0,1.0,4.0,No,No,I feel that kids are very influenced by their parent's beliefs. ,3.0,2.0,1.0,,"Traditional news (NYT, WSJ, SF Chronicle), Family or friends, School",,,,,0.0,0.48,,0.0,66.7,20.4,None (0),3,Neither
7,Student,18.0,12.0,4.0,4.0,3.0,3.0,2.0,No,No,At 16 children are still under the influence of their parents and couldn’t be trusted to make informed decisions for themselves. ,5.0,1.0,1.0,,"Social media (TikTok, Instagram, X), YouTube, Podcasts, Traditional news (NYT, WSJ, SF Chronicle)",,,,,0.0,1.48,,0.0,83.3,23.9,None (0),4,Neither
8,Student,17.0,12.0,4.0,5.0,1.0,1.0,3.0,No,No,This would essentially give parents 2 votes,5.0,3.0,3.0,"Blocked parts of SB79 with the family zoning plan, doing much better than the previous mayor in terms of cleaning up the city. A little tougher on crime? Supports building new housing as long as it’s not in his rich constituents backyards. Not doing enough for public transportation. Mostly goes whichever way his largest patrons want.","YouTube, Traditional news (NYT, WSJ, SF Chronicle)",,,,,3.5,0.28,,0.0,91.7,36.9,Medium (3-5.9),2,Neither
9,Student,16.0,10.0,3.0,3.0,2.0,2.0,5.0,No,No,"16 = child, influneced by parents, not necesarily making mature decisions. should be older to have this influence on politics",5.0,1.0,1.0,,"Podcasts, Traditional news (NYT, WSJ, SF Chronicle), Family or friends",,,,,0.0,0.76,,0.0,66.7,15.2,None (0),3,Neither
10,Student,16.0,9.0,4.0,4.0,2.0,1.0,4.0,Unsure,Unsure,"I just feel like to some degree ppl at this age are impressionable and don't always really know what they're talking about, but a lot of the time they have valid reasons and pretty important perspectives",5.0,3.0,5.0,,"YouTube, Traditional news (NYT, WSJ, SF Chronicle), Family or friends, School",,,,,0.0,4.52,,0.0,83.3,34.6,None (0),4,Mixed/Unsure
11,Student,17.0,11.0,3.0,4.0,2.0,2.0,4.0,Yes,Yes,I think more people should vote. By getting more young people to vote it would instill a better voting culture.,5.0,4.0,4.0,,"Social media (TikTok, Instagram, X), Traditional news (NYT, WSJ, SF Chronicle)",,,,,0.0,0.8,,0.0,75.0,18.4,None (0),2,Both
