Timestamp,Are you a student or faculty/staff member at SFUHS?,What is your age?,What grade are you in?,How closely do you follow local (San Francisco) politics?,How closely do you follow federal politics?,How much influence do you feel you have in local elections?,How much influence do you feel you have in federal elections?,How often do your political views align with your parents or guardians?,Would you support lowering the local voting age to 16 in San Francisco?,Would you support lowering the federal voting age to 16?,Briefly explain your answers above.,"If you could vote in SF city elections right now, how likely would you be to vote?",Do you think SF 16–18 year olds are informed/mature enough to make local voting decisions?,Do you think SF 16–18 year olds are informed/mature enough to make federal voting decisions?,"Write anything you know about the current SF mayor -  their agenda, priorities, or recent activity. No worries if you don't know much.",Where do you primarily get your news from? (Select all that apply),What subject area do you primarily teach or work in?,How many years have you worked in education?,How closely do you follow local (San Francisco) politics?,How closely do you follow federal politics?,Would you support lowering the local voting age to 16 in San Francisco?,Would you support lowering the federal voting age to 16?,Briefly explain your answers above.,"Based on your experience with your students, do you think 16–18 year olds are informed and mature enough to make local voting decisions?","Based on your experience with your students, do you think 16–18 year olds are informed and mature enough to make federal voting decisions?",Briefly explain your reasoning on student voting readiness.,What civic knowledge or skills do you think matter most for voting decisions?,Where do you primarily get your news from? (Select all that apply)
4/20/2026 8:22:16,Student,17,11,5,5,1,1,4,No,No,"Teens do not have independent though from their parents, so giving them voting rights would be futile. Adding more misinformed and uninformed voters to the voter pool seems like it would be very counterproductive.",4,1,1,,"YouTube, Traditional news (NYT, WSJ, SF Chronicle), Family or friends, Other",,,,,,,,,,,,
4/20/2026 8:22:56,Student,15,9,3,4,1,1,5,Yes,No,"Many kids my age make a lot of jokes around politics, especially on the fed level that affects them less. I think they should have a vote in local politics because it so closely affects them though.",5,4,2,,"YouTube, Podcasts, Traditional news (NYT, WSJ, SF Chronicle)",,,,,,,,,,,,
4/20/2026 8:23:20,Student,16,10,3,4,2,1,4,Yes,Yes,I think youth 16-18 are responsible enough and should be able to engage in elections that significantly affect us.,5,4,5,,"Social media (TikTok, Instagram, X), Traditional news (NYT, WSJ, SF Chronicle), Family or friends",,,,,,,,,,,,
4/20/2026 8:23:52,Student,15,9,2,2,1,1,5,No,No,People my age won’t make good decisions ,5,3,2,,"Social media (TikTok, Instagram, X)",,,,,,,,,,,,
4/20/2026 8:24:09,Student,16,11,1,1,1,1,5,Yes,Unsure,i feel like not ALL 16yo should be able to vote..,4,3,3,,"Social media (TikTok, Instagram, X), Family or friends",,,,,,,,,,,,
4/20/2026 8:29:52,Student,15,10,4,4,1,1,4,No,No,I feel that kids are very influenced by their parent's beliefs. ,3,2,1,,"Traditional news (NYT, WSJ, SF Chronicle), Family or friends, School",,,,,,,,,,,,
4/20/2026 8:30:11,Student,18,12,4,4,3,3,2,No,No,At 16 children are still under the influence of their parents and couldn’t be trusted to make informed decisions for themselves. ,5,1,1,,"Social media (TikTok, Instagram, X), YouTube, Podcasts, Traditional news (NYT, WSJ, SF Chronicle)",,,,,,,,,,,,
4/20/2026 8:30:23,Student,17,12,4,5,1,1,3,No,No,This would essentially give parents 2 votes,5,3,3,"Blocked parts of SB79 with the family zoning plan, doing much better than the previous mayor in terms of cleaning up the city. A little tougher on crime? Supports building new housing as long as it’s not in his rich constituents backyards. Not doing enough for public transportation. Mostly goes whichever way his largest patrons want.","YouTube, Traditional news (NYT, WSJ, SF Chronicle)",,,,,,,,,,,,
4/20/2026 8:30:57,Student,16,10,3,3,2,2,5,No,No,"16 = child, influneced by parents, not necesarily making mature decisions. should be older to have this influence on politics",5,1,1,,"Podcasts, Traditional news (NYT, WSJ, SF Chronicle), Family or friends",,,,,,,,,,,,
4/20/2026 8:31:03,Student,16,9,4,4,2,1,4,Unsure,Unsure,"I just feel like to some degree ppl at this age are impressionable and don't always really know what they're talking about, but a lot of the time they have valid reasons and pretty important perspectives",5,3,5,,"YouTube, Traditional news (NYT, WSJ, SF Chronicle), Family or friends, School",,,,,,,,,,,,
4/20/2026 8:31:36,Student,17,11,3,4,2,2,4,Yes,Yes,I think more people should vote. By getting more young people to vote it would instill a better voting culture.,5,4,4,,"Social media (TikTok, Instagram, X), Traditional news (NYT, WSJ, SF Chronicle)",,,,,,,,,,,,
4/20/2026 8:32:29,Student,17,12,4,3,2,1,4,No,No,"I unfortunately don’t believe most 16 year olds are informed enough to vote (not that most adults are either, though). I don’t think I’m informed enough to vote.",4,2,3,"Daniel Lurie has been doing a lot that generally benefits the top 20% of San Franciscans, with the hope of bringing SF back (“Let’s go, San Francisco). Things like removing homeless encampments, encouraging art/cultural events. He hasn’t focused as much on the cost of living, even as prices get higher both federally and due to SFs AI boom. He recently revealed SFs 2026 Climate Plan and is currently in Shanghai, one of SFs sister cities.","Social media (TikTok, Instagram, X), YouTube, Traditional news (NYT, WSJ, SF Chronicle), Family or friends, Other",,,,,,,,,,,,
4/20/2026 8:33:35,Student,14,9,2,3,1,1,5,Yes,Yes,I would like to have a say in the people making laws for me sooner,5,4,4,I know Daniel Lurie wants to stop ICE I think ,"YouTube, Traditional news (NYT, WSJ, SF Chronicle), Family or friends, School",,,,,,,,,,,,
4/20/2026 8:36:33,Student,17,11,3,4,1,1,3,Yes,Yes,Because it affects kids as well and the 16 year olds who would vote would be educated enough,5,4,4,,"Social media (TikTok, Instagram, X)",,,,,,,,,,,,
4/20/2026 8:36:52,Student,14,9,1,3,2,1,5,Yes,Unsure,I feel like federal is more important than local and you should be older for that.,4,3,2,I know their daughter,"Social media (TikTok, Instagram, X), YouTube, Traditional news (NYT, WSJ, SF Chronicle), Family or friends, School",,,,,,,,,,,,
